Designator,Mid X,Mid Y,Rotation,Layer
C1,92.5,-72.1825,270.0,top
C10,75.17,-125.7225,270.0,top
C11,80.118,-127.9545,270.0,top
C12,80.118,-130.562,270.0,top
C13,72.12,-128.2725,270.0,top
C14,72.12,-130.5875,90.0,top
C15,81.48,-112.16,180.0,top
C16,87.4425,-123.7,180.0,top
C17,61.4975,-153.34,0.0,top
C2,82.77,-76.23,270.0,top
C20,78.06,-115.96,180.0,top
C21,78.0825,-117.6,0.0,top
C22,84.2,-126.6325,270.0,top
C23,73.02,-125.26,270.0,top
C24,80.7525,-117.62,0.0,top
C25,80.66,-115.94,180.0,top
C3,81.38,-76.26,270.0,top
C4,79.79,-76.29,270.0,top
C5,92.49,-69.5125,270.0,top
C6,78.65,-127.99,90.0,top
C7,78.718,-130.612,90.0,top
C8,77.38,-128.43,90.0,top
C9,77.34,-130.98,90.0,top
COIL,54.9249,-120.765,270.0,top
D1,85.3425,-76.22,0.0,top
IC1,89.275,-72.66,180.0,top
IC2,82.79,-72.67,180.0,top
IC3,79.73,-122.87,90.0,top
IC4,86.19,-121.31,180.0,top
J1,86.285,-66.6875,180.0,top
J2,89.865,-78.0,270.0,top
J3,90.87,-119.415,0.0,top
J4,57.06,-155.53,270.0,top
R1,86.0,-72.7125,270.0,top
R2,84.25,-64.99,0.0,bottom
R3,87.55,-75.79,270.0,top
R4,92.5,-74.74,270.0,top
R5,93.15,-121.2675,270.0,top
R6,91.25,-126.18,270.0,top
R7,84.8775,-123.7,180.0,top
R8,53.8675,-153.31,0.0,top
S1,91.37,-126.179685,90.0,bottom
Y1,82.933,-129.687,0.0,top
Y2,74.84,-129.355,270.0,top
